[
County Code Residence,County Name,County Code Place of Work,County Name,Workers in Commuting Flow
72057,Guayama Municipio,72123,Salinas Municipio,710
72145,Vega Baja Municipio,72051,Dorado Municipio,710
72013,Arecibo Municipio,72127,San Juan Municipio,704
72031,Carolina Municipio,72033,Catano Municipio,704
72079,Lajas Municipio,72097,Mayaguez Municipio,703
72133,Santa Isabel Municipio,72075,Juana Diaz Municipio,699
72117,Rincon Municipio,72097,Mayaguez Municipio,698
72135,Toa Alta Municipio,72031,Carolina Municipio,685
72025,Caguas Municipio,72077,Juncos Municipio,678
72145,Vega Baja Municipio,72061,Guaynabo Municipio,676
72101,Morovis Municipio,72127,San Juan Municipio,671
72054,Florida Municipio,72091,Manati Municipio,669
72149,Villalba Municipio,72075,Juana Diaz Municipio,666
72053,Fajardo Municipio,72119,Rio Grande Municipio,665
72029,Canovanas Municipio,72119,Rio Grande Municipio,663
72087,Loiza Municipio,72029,Canovanas Municipio,663
72083,Las Marias Municipio,72097,Mayaguez Municipio,659
72029,Canovanas Municipio,72061,Guaynabo Municipio,656
72003,Aguada Municipio,72011,Anasco Municipio,653
72101,Morovis Municipio,72145,Vega Baja Municipio,650
72105,Naranjito Municipio,72127,San Juan Municipio,650
72025,Caguas Municipio,72069,Humacao Municipio,644
72091,Manati Municipio,72127,San Juan Municipio,641
72061,Guaynabo Municipio,72033,Catano Municipio,631
72045,Comerio Municipio,72021,Bayamon Municipio,629
72039,Ciales Municipio,72091,Manati Municipio,622
72025,Caguas Municipio,72021,Bayamon Municipio,619
72021,Bayamon Municipio,72135,Toa Alta Municipio,618
72089,Luquillo Municipio,72127,San Juan Municipio,614
72041,Cidra Municipio,72061,Guaynabo Municipio,612
72055,Guanica Municipio,72153,Yauco Municipio,606
72069,Humacao Municipio,72077,Juncos Municipio,606
72043,Coamo Municipio,72075,Juana Diaz Municipio,598
72153,Yauco Municipio,72059,Guayanilla Municipio,594
72025,Caguas Municipio,72129,San Lorenzo Municipio,593
72143,Vega Alta Municipio,72061,Guaynabo Municipio,593
72097,Mayaguez Municipio,72005,Aguadilla Municipio,590
72063,Gurabo Municipio,72061,Guaynabo Municipio,586
72059,Guayanilla Municipio,72153,Yauco Municipio,584
72063,Gurabo Municipio,72031,Carolina Municipio,581
72049,Culebra Municipio,72049,Culebra Municipio,579
72021,Bayamon Municipio,72051,Dorado Municipio,566
72043,Coamo Municipio,72009,Aibonito Municipio,565
72043,Coamo Municipio,72123,Salinas Municipio,564
72013,Arecibo Municipio,72145,Vega Baja Municipio,563
72127,San Juan Municipio,72137,Toa Baja Municipio,563
72057,Guayama Municipio,72015,Arroyo Municipio,558
72129,San Lorenzo Municipio,72061,Guaynabo Municipio,556
72005,Aguadilla Municipio,72097,Mayaguez Municipio,555
72031,Carolina Municipio,72025,Caguas Municipio,550
72151,Yabucoa Municipio,72085,Las Piedras Municipio,549
72145,Vega Baja Municipio,72143,Vega Alta Municipio,545
72063,Gurabo Municipio,72077,Juncos Municipio,528
72011,Anasco Municipio,72005,Aguadilla Municipio,526
72115,Quebradillas Municipio,72065,Hatillo Municipio,519
72145,Vega Baja Municipio,72017,Barceloneta Municipio,516
72053,Fajardo Municipio,72089,Luquillo Municipio,512
72097,Mayaguez Municipio,72067,Hormigueros Municipio,505
72077,Juncos Municipio,72031,Carolina Municipio,502
72119,Rio Grande Municipio,72061,Guaynabo Municipio,501
72057,Guayama Municipio,72113,Ponce Municipio,500
72127,San Juan Municipio,72029,Canovanas Municipio,496
72005,Aguadilla Municipio,72003,Aguada Municipio,495
72019,Barranquitas Municipio,72105,Naranjito Municipio,494
72025,Caguas Municipio,72033,Catano Municipio,491
72089,Luquillo Municipio,72031,Carolina Municipio,491
72054,Florida Municipio,72017,Barceloneta Municipio,489
72019,Barranquitas Municipio,72009,Aibonito Municipio,488
72023,Cabo Rojo Municipio,72067,Hormigueros Municipio,480
72125,San German Municipio,72023,Cabo Rojo Municipio,477
72065,Hatillo Municipio,72017,Barceloneta Municipio,475
72117,Rincon Municipio,72005,Aguadilla Municipio,474
72017,Barceloneta Municipio,72013,Arecibo Municipio,473
72075,Juana Diaz Municipio,72133,Santa Isabel Municipio,472
72113,Ponce Municipio,72057,Guayama Municipio,469
72053,Fajardo Municipio,72037,Ceiba Municipio,468
72131,San Sebastian Municipio,72097,Mayaguez Municipio,468
72007,Aguas Buenas Municipio,72061,Guaynabo Municipio,467
72099,Moca Municipio,72131,San Sebastian Municipio,466
72113,Ponce Municipio,72111,Penuelas Municipio,465
72053,Fajardo Municipio,72031,Carolina Municipio,462
72075,Juana Diaz Municipio,72149,Villalba Municipio,462
72125,San German Municipio,72079,Lajas Municipio,462
72067,Hormigueros Municipio,72023,Cabo Rojo Municipio,460
72077,Juncos Municipio,72061,Guaynabo Municipio,457
72129,San Lorenzo Municipio,72069,Humacao Municipio,452
72113,Ponce Municipio,72133,Santa Isabel Municipio,450
72025,Caguas Municipio,72085,Las Piedras Municipio,446
72043,Coamo Municipio,72057,Guayama Municipio,446
72115,Quebradillas Municipio,72027,Camuy Municipio,446
72099,Moca Municipio,72003,Aguada Municipio,445
72065,Hatillo Municipio,72091,Manati Municipio,440
72091,Manati Municipio,72013,Arecibo Municipio,440
72143,Vega Alta Municipio,72091,Manati Municipio,439
72051,Dorado Municipio,72033,Catano Municipio,438
72091,Manati Municipio,72021,Bayamon Municipio,438
72123,Salinas Municipio,72035,Cayey Municipio,437
72051,Dorado Municipio,72143,Vega Alta Municipio,436
72133,Santa Isabel Municipio,72123,Salinas Municipio,436
72021,Bayamon Municipio,72139,Trujillo Alto Municipio,429
72069,Humacao Municipio,72053,Fajardo Municipio,428
72005,Aguadilla Municipio,72099,Moca Municipio,415
72019,Barranquitas Municipio,72021,Bayamon Municipio,413
72115,Quebradillas Municipio,72005,Aguadilla Municipio,411
72069,Humacao Municipio,72151,Yabucoa Municipio,409
72127,San Juan Municipio,72119,Rio Grande Municipio,407
72007,Aguas Buenas Municipio,72021,Bayamon Municipio,405
72091,Manati Municipio,72061,Guaynabo Municipio,404
72055,Guanica Municipio,72113,Ponce Municipio,399
72097,Mayaguez Municipio,72125,San German Municipio,399
72043,Coamo Municipio,72127,San Juan Municipio,396
72047,Corozal Municipio,72137,Toa Baja Municipio,396
72113,Ponce Municipio,72149,Villalba Municipio,395
72091,Manati Municipio,72051,Dorado Municipio,394
72025,Caguas Municipio,72007,Aguas Buenas Municipio,391
72093,Maricao Municipio,72097,Mayaguez Municipio,391
72131,San Sebastian Municipio,72081,Lares Municipio,391
72015,Arroyo Municipio,72109,Patillas Municipio,386
72051,Dorado Municipio,72031,Carolina Municipio,379
72153,Yauco Municipio,72125,San German Municipio,378
72027,Camuy Municipio,72115,Quebradillas Municipio,377
72145,Vega Baja Municipio,72033,Catano Municipio,377
72003,Aguada Municipio,72117,Rincon Municipio,371
72029,Canovanas Municipio,72025,Caguas Municipio,371
72111,Penuelas Municipio,72153,Yauco Municipio,371
72045,Comerio Municipio,72127,San Juan Municipio,370
72071,Isabela Municipio,72013,Arecibo Municipio,370
72003,Aguada Municipio,72099,Moca Municipio,368
72071,Isabela Municipio,72097,Mayaguez Municipio,368
72054,Florida Municipio,72013,Arecibo Municipio,363
72061,Guaynabo Municipio,72139,Trujillo Alto Municipio,362
72047,Corozal Municipio,72061,Guaynabo Municipio,361
72113,Ponce Municipio,72153,Yauco Municipio,359
72123,Salinas Municipio,72113,Ponce Municipio,359
72035,Cayey Municipio,72061,Guaynabo Municipio,357
72027,Camuy Municipio,72017,Barceloneta Municipio,355
72079,Lajas Municipio,72023,Cabo Rojo Municipio,355
72105,Naranjito Municipio,72047,Corozal Municipio,355
72131,San Sebastian Municipio,72099,Moca Municipio,355
72101,Morovis Municipio,72143,Vega Alta Municipio,354
72087,Loiza Municipio,72119,Rio Grande Municipio,353
72127,San Juan Municipio,72051,Dorado Municipio,353
72031,Carolina Municipio,72053,Fajardo Municipio,352
72103,Naguabo Municipio,72077,Juncos Municipio,349
72123,Salinas Municipio,72133,Santa Isabel Municipio,346
72063,Gurabo Municipio,72129,San Lorenzo Municipio,345
72019,Barranquitas Municipio,72127,San Juan Municipio,343
72033,Catano Municipio,72137,Toa Baja Municipio,343
72135,Toa Alta Municipio,72143,Vega Alta Municipio,340
72151,Yabucoa Municipio,72025,Caguas Municipio,338
72057,Guayama Municipio,72025,Caguas Municipio,337
72065,Hatillo Municipio,72027,Camuy Municipio,337
72153,Yauco Municipio,72111,Penuelas Municipio,337
72059,Guayanilla Municipio,72111,Penuelas Municipio,334
72071,Isabela Municipio,72099,Moca Municipio,332
72007,Aguas Buenas Municipio,72041,Cidra Municipio,330
72123,Salinas Municipio,72025,Caguas Municipio,330
72133,Santa Isabel Municipio,72057,Guayama Municipio,329
72139,Trujillo Alto Municipio,72029,Canovanas Municipio,328
72091,Manati Municipio,72143,Vega Alta Municipio,327
72101,Morovis Municipio,72021,Bayamon Municipio,327
72137,Toa Baja Municipio,72025,Caguas Municipio,327
72125,San German Municipio,72067,Hormigueros Municipio,326
72113,Ponce Municipio,72123,Salinas Municipio,325
72121,Sabana Grande Municipio,72113,Ponce Municipio,325
72129,San Lorenzo Municipio,72077,Juncos Municipio,325
72045,Comerio Municipio,72025,Caguas Municipio,323
72127,San Juan Municipio,72069,Humacao Municipio,323
72047,Corozal Municipio,72105,Naranjito Municipio,322
72067,Hormigueros Municipio,72125,San German Municipio,320
72031,Carolina Municipio,72119,Rio Grande Municipio,317
72009,Aibonito Municipio,72025,Caguas Municipio,315
72095,Maunabo Municipio,72069,Humacao Municipio,314
72057,Guayama Municipio,72127,San Juan Municipio,312
72123,Salinas Municipio,72127,San Juan Municipio,312
72113,Ponce Municipio,72097,Mayaguez Municipio,310
72025,Caguas Municipio,72113,Ponce Municipio,309
72031,Carolina Municipio,72137,Toa Baja Municipio,309
72127,San Juan Municipio,72077,Juncos Municipio,308
72119,Rio Grande Municipio,72089,Luquillo Municipio,305
72021,Bayamon Municipio,72113,Ponce Municipio,304
72077,Juncos Municipio,72129,San Lorenzo Municipio,304
72125,San German Municipio,72121,Sabana Grande Municipio,303
72099,Moca Municipio,72011,Anasco Municipio,300
72023,Cabo Rojo Municipio,72005,Aguadilla Municipio,297
72099,Moca Municipio,72071,Isabela Municipio,295
72023,Cabo Rojo Municipio,72079,Lajas Municipio,294
72017,Barceloneta Municipio,72145,Vega Baja Municipio,293
72033,Catano Municipio,72031,Carolina Municipio,293
72051,Dorado Municipio,72091,Manati Municipio,292
72121,Sabana Grande Municipio,72153,Yauco Municipio,292
72019,Barranquitas Municipio,72045,Comerio Municipio,291
72011,Anasco Municipio,72117,Rincon Municipio,290
72143,Vega Alta Municipio,72137,Toa Baja Municipio,288
72101,Morovis Municipio,72051,Dorado Municipio,287
72043,Coamo Municipio,72149,Villalba Municipio,286
72027,Camuy Municipio,72005,Aguadilla Municipio,285
72111,Penuelas Municipio,72059,Guayanilla Municipio,284
72141,Utuado Municipio,72065,Hatillo Municipio,284
72101,Morovis Municipio,72017,Barceloneta Municipio,281
72101,Morovis Municipio,72047,Corozal Municipio,280
72151,Yabucoa Municipio,72077,Juncos Municipio,279
72053,Fajardo Municipio,72069,Humacao Municipio,277
72153,Yauco Municipio,72055,Guanica Municipio,274
72065,Hatillo Municipio,72115,Quebradillas Municipio,272
72097,Mayaguez Municipio,72093,Maricao Municipio,272
72105,Naranjito Municipio,72019,Barranquitas Municipio,269
72051,Dorado Municipio,72145,Vega Baja Municipio,268
72085,Las Piedras Municipio,72129,San Lorenzo Municipio,267
72135,Toa Alta Municipio,72145,Vega Baja Municipio,267
72129,San Lorenzo Municipio,72063,Gurabo Municipio,266
72081,Lares Municipio,72131,San Sebastian Municipio,265
72037,Ceiba Municipio,72069,Humacao Municipio,261
72115,Quebradillas Municipio,72071,Isabela Municipio,260
72069,Humacao Municipio,72061,Guaynabo Municipio,259
72107,Orocovis Municipio,72009,Aibonito Municipio,259
72153,Yauco Municipio,72097,Mayaguez Municipio,259
72065,Hatillo Municipio,72127,San Juan Municipio,257
72087,Loiza Municipio,72061,Guaynabo Municipio,257
72145,Vega Baja Municipio,72013,Arecibo Municipio,256
72065,Hatillo Municipio,72071,Isabela Municipio,254
72127,San Juan Municipio,72063,Gurabo Municipio,254
72137,Toa Baja Municipio,72135,Toa Alta Municipio,252
72091,Manati Municipio,72031,Carolina Municipio,251
72127,San Juan Municipio,72143,Vega Alta Municipio,250
72025,Caguas Municipio,72139,Trujillo Alto Municipio,248
72035,Cayey Municipio,72123,Salinas Municipio,248
72141,Utuado Municipio,72091,Manati Municipio,248
72013,Arecibo Municipio,72027,Camuy Municipio,247
72129,San Lorenzo Municipio,72085,Las Piedras Municipio,247
72081,Lares Municipio,72065,Hatillo Municipio,244
72021,Bayamon Municipio,72143,Vega Alta Municipio,243
72075,Juana Diaz Municipio,72123,Salinas Municipio,242
72105,Naranjito Municipio,72061,Guaynabo Municipio,242
72013,Arecibo Municipio,72021,Bayamon Municipio,240
72021,Bayamon Municipio,72091,Manati Municipio,240
72053,Fajardo Municipio,72029,Canovanas Municipio,239
72119,Rio Grande Municipio,72025,Caguas Municipio,239
72005,Aguadilla Municipio,72011,Anasco Municipio,238
72031,Carolina Municipio,72063,Gurabo Municipio,238
72057,Guayama Municipio,72035,Cayey Municipio,238
72075,Juana Diaz Municipio,72127,San Juan Municipio,236
72113,Ponce Municipio,72059,Guayanilla Municipio,236
72141,Utuado Municipio,72073,Jayuya Municipio,236
72051,Dorado Municipio,72135,Toa Alta Municipio,235
72037,Ceiba Municipio,72127,San Juan Municipio,234
72109,Patillas Municipio,72015,Arroyo Municipio,234
72127,San Juan Municipio,72091,Manati Municipio,234
72145,Vega Baja Municipio,72137,Toa Baja Municipio,233
72063,Gurabo Municipio,72035,Cayey Municipio,231
72099,Moca Municipio,72127,San Juan Municipio,230
72079,Lajas Municipio,72055,Guanica Municipio,228
72127,San Juan Municipio,72113,Ponce Municipio,228
72027,Camuy Municipio,72091,Manati Municipio,227
72029,Canovanas Municipio,72139,Trujillo Alto Municipio,227
72083,Las Marias Municipio,72093,Maricao Municipio,227
72047,Corozal Municipio,72051,Dorado Municipio,226
72131,San Sebastian Municipio,72071,Isabela Municipio,224
72013,Arecibo Municipio,72031,Carolina Municipio,223
72085,Las Piedras Municipio,72151,Yabucoa Municipio,223
72037,Ceiba Municipio,72119,Rio Grande Municipio,222
72069,Humacao Municipio,72063,Gurabo Municipio,222
72119,Rio Grande Municipio,72139,Trujillo Alto Municipio,221
72009,Aibonito Municipio,72127,San Juan Municipio,218
72129,San Lorenzo Municipio,72031,Carolina Municipio,218
72037,Ceiba Municipio,72089,Luquillo Municipio,216
72023,Cabo Rojo Municipio,72011,Anasco Municipio,212
72139,Trujillo Alto Municipio,72033,Catano Municipio,212
72061,Guaynabo Municipio,72137,Toa Baja Municipio,211
72087,Loiza Municipio,72053,Fajardo Municipio,211
72127,San Juan Municipio,72013,Arecibo Municipio,211
72001,Adjuntas Municipio,72141,Utuado Municipio,210
